name,IDs,stakeholder_categories,Contents,date
Oxford Population Health,@Oxford_NDPH,Org. Research/Academic,"ORION-4 is a #clinicaltrial testing whether a new medicine called inclisiran prevents heart attacks and strokes

Find out how the trial team adapted during the #COVID19 pandemic to continue this important research ⤵️",2021-06-28T10:00:02+00:00
XBI-Observer,@XBIObserver,,"@BiotechObserver @JialiangLiang @AAMortazavi Certainly going to vary across indication

inclisiran is supposed to be two doses a year, after the initial dose and one at 3 months.",2021-06-28T01:38:53+00:00
Ethney Kibet,@ethneykip,,"RT @punitbansal14: Biggest potential new drug launches in 2021 (2026e sales $ bn)

Aducanumab: 4.92
Efgartigimod: 2.52
Roxadustat: 2.30
Inc…",2021-06-25T03:54:10+00:00
Raj,@Raj27518298,,"RT @punitbansal14: Biggest potential new drug launches in 2021 (2026e sales $ bn)

Aducanumab: 4.92
Efgartigimod: 2.52
Roxadustat: 2.30
Inc…",2021-06-25T01:44:40+00:00
Punit,@punitbansal14,,PDUFA - 25th June 2021,2021-06-24T18:52:39+00:00
Trip Database,@tripdatabase,Org. Other Healthcare,New2Trip: Bempedoic Acid & Inclisiran for Patients w/ Heterozygous Familial Hypercholesterolemia & for Secondary Prevention of ASCVD: Effectiveness & Value https://t.co/XTIGp5qSoi,2021-06-23T17:51:31+00:00
LipidLover MD,@LipidLover1030,,"@Drlipid @drpablocorral Agreed - but inclisiran has the potential to change ASCVD around the world. If affordable, adherence and therapy intensity should rise to over 90%. We have tried with statins since 1987 and still patients won’t take them. This changes everything.",2021-06-23T15:38:12+00:00
"Sergio Kaiser, M.D., PhD, FACC, FESC",@pabeda1,"Doctor,Researcher/Academic","@CV_HealthNews @ProfKausikRay @AL_Catapano @doctstefania @SABOURETCardio @GiuseppeGalati_ @maciejbanach @DLBHATTMD @lipiddoc @CBallantyneMD @drpablocorral @ArsenaultBenoit I just excluded my previous tweet. I read it in a hurry and understood ""inclisiran"" instead of evinacumab 🤦‍♂️🤦‍♂️. Sorry about it.",2021-06-23T14:12:17+00:00
Thomas Dayspring,@Drlipid,HCP,"@LipidLover1030 @drpablocorral Inclisiran use will depend on pricing and FDA indications which could limit approval by 3rd party payers and significantly limit its use. Commenting as a current user of q 2 week use of PCSK9i, it is hardly inconvenient for those who need and qualify for it.",2021-06-22T20:17:21+00:00
LipidLover MD,@LipidLover1030,,"@drpablocorral Can’t wait for inclisiran. Although with all the 2 dose vax hesitancy, this will be a huge challenge for all of us. 2 x per year should change adherence to 95%+.",2021-06-22T19:09:32+00:00
Maroni Bourboni,@MaroniBourboni,,"RT @KardiologieWien: Heute wurde an der kardiologischen Lipidambulanz der @MedUni_Wien zum weltweit ersten Mal #Inclisiran, ein neuer revol…",2021-06-21T21:19:46+00:00
Catena Gabriele,@cardio28,,RT @sismeditalia: Scarsa aderenza alla terapia statinica: acido bempedoico è la risposta https://t.co/3swFzgLKkk,2021-06-20T02:50:03+00:00
Catena Gabriele,@cardio28,,"RT @sismeditalia: Contro l’ipercolesterolemia l'armamentario era costituito dalle #statine, #ezetimibe e dalle resine sequestranti gli acid…",2021-06-20T02:49:59+00:00
RNAi papers,@RNAi_papers,,Novel RNAi-Based Therapies for Atherosclerosis https://t.co/ysMSICDCIJ,2021-06-19T23:41:02+00:00
TAVR Bot,@TAVRBot,Spam,RT @MattersoftheH14: #TAVR  #cardiotwitter https://t.co/slLGQFQ6ma,2021-06-19T16:15:52+00:00
MitraClip Bot,@MitraBot,Spam,RT @MattersoftheH14: #TAVR  #cardiotwitter https://t.co/slLGQFQ6ma,2021-06-19T15:46:12+00:00
MitraClip Bot,@MitraBot,Spam,RT @mividovich: How will #inclisiran and the new Lp(a) therapies affect the natural history of AS? Fascinating future. #TAVR #cardiotwitter…,2021-06-19T15:45:51+00:00
Cardiology Bot,@BotCardiology,Spam,RT @MattersoftheH14: #TAVR  #cardiotwitter https://t.co/slLGQFQ6ma,2021-06-19T15:42:09+00:00
Matters of the Heart 🫀,@MattersoftheH14,,#TAVR  #cardiotwitter,2021-06-19T15:36:46+00:00
TAVR Bot,@TAVRBot,Spam,RT @mividovich: How will #inclisiran and the new Lp(a) therapies affect the natural history of AS? Fascinating future. #TAVR #cardiotwitter…,2021-06-19T15:15:43+00:00
rafavidalperez,@rafavidalperez,Doctor,RT @mividovich: How will #inclisiran and the new Lp(a) therapies affect the natural history of AS? Fascinating future. #TAVR #cardiotwitter…,2021-06-19T15:00:03+00:00
Cardiology Bot,@BotCardiology,Spam,RT @mividovich: How will #inclisiran and the new Lp(a) therapies affect the natural history of AS? Fascinating future. #TAVR #cardiotwitter…,2021-06-19T14:57:07+00:00
Mladen Vidovich,@mividovich,"Doctor,Investigator",How will #inclisiran and the new Lp(a) therapies affect the natural history of AS? Fascinating future. #TAVR #cardiotwitter https://t.co/xVTrHWVgDT,2021-06-19T14:53:50+00:00
Monika Hinkle,@HinkleMonika,,"@DrInfluenza Ich weiss meine Medikamente genau und auch die Dosierung.  Leider sind die so selten, bzw. das eine ist noch ne Studie, dass selbst Ärzte die nicht kennen. Das heißt Inclisiran.... das andere ist Cosentyx und auch weitgehend unbekannt......... Liegt bestimmt am Preis😏",2021-06-19T12:14:08+00:00
SISMED - Società Italiana Scienze Mediche,@sismeditalia,,"Contro l’ipercolesterolemia l'armamentario era costituito dalle #statine, #ezetimibe e dalle resine sequestranti gli acidi biliari.Oggi possiamo contare sui #PCSK9 e su molecole in fase avanzata di valutazione: #inclisiran, #evinacumab ed #acidobempedoico https://t.co/3swFzgLKkk https://t.co/mnRjKF4NCw",2021-06-19T09:20:23+00:00
SISMED - Società Italiana Scienze Mediche,@sismeditalia,,Scarsa aderenza alla terapia statinica: acido bempedoico è la risposta https://t.co/3swFzgLKkk,2021-06-19T07:30:49+00:00
Vilius Savickas,@viliussavickas,HCP,@sfhadil13 reflects on the benefits of PCSK9 inhibitors and inclisiran #EuroHeartCare #ACNAP #CVD #clinicalpharmacy https://t.co/wu5CFRA5Da,2021-06-18T08:00:23+00:00
XBI-Observer,@XBIObserver,,"@BiotechObserver @Varro_Analytics How would this be better than inclisiran, assuming that achieves some commercial success?  And would it need MACE studies? If it has the same regulatory pathway as the others, shouldn't we stick a fork in it?",2021-06-18T03:54:58+00:00
XBI-Observer,@XBIObserver,,@Varro_Analytics @BiotechObserver So is VERV just one regulatory follow on of NVS/MDCO with inclisiran?,2021-06-18T03:11:37+00:00
"Stefanos Zafeiropoulos, MD, MSc",@stefzafeirop,,"@GGiannakoulas https://t.co/aJ0SZ7LAHr
INCLISIRAN trials-ORION
https://t.co/LG4OMX6HG6
COMPASS trial - vascular dose rivaroxaban",2021-06-16T19:01:31+00:00
||| Thai-Burmese Activists for Democracy 🇹🇭🇲🇲,@ThaiBurmese,Individual Non-Health,ยาลดระดับไขมันในเลือดเพื่อป้องกันการเกิดโรคหลอดเลือดหัวใจ (Medication for Dyslipidemia in Cardiovascular Disease Prevention) https://t.co/bZ9sA1p7A3,2021-06-13T15:56:14+00:00
Dina Abushanab,@dinaabushanab10,,"RT @JACCJournals: Must see! An up-to-date, state-of-the-art review of the most promising novel LDL-C lowering therapies such as inclisiran,…",2021-06-12T20:01:58+00:00
Chin - ⚒️'22 to be worse than ‘20 & ‘21 combined⚒️,@Chinn888,,"@9casey99 I found this Casey:
https://t.co/B6w46dEM9G",2021-06-11T13:58:54+00:00
Ezequiel Zaidel,@EzequielZaidel,,"4/
For residual LDL lipid-risk, inclisiran offers the likely best alternative over current #PCSK9i (waiting till 2025 to finish ORIONs...),  but I would add in the GAPS-I list the TRGL pathway emerging treatments",2021-06-09T17:22:46+00:00
Manuel Frías Vargas,@FriasDr,Doctor,RT @sea_es: El profesor Kausik Kosh Ray nos habla sobre el uso de #inclisirán para el tratamiento del #colesterol LDL. ¿Dos veces al año es…,2021-06-09T16:50:29+00:00
SABOURETCardiologist,@SABOURETCardio,"Doctor,Researcher/Academic","@VietHeartPA @DocSavageTJU @saia_francesco @AntaklyY @erikaperfu @YndigegnY @SuzanneArtMusic @gbiondizoccai @GiuseppeGalati_ @DrMarthaGulati @AbrahamOomman @fikkumamoto @HeartOTXHeartMD @fitmslax @KemalogluOz @MeralKayikcoglu @NMansencal @SeguraCardio For this young patient the lower the better until 30 mg/dL for me due to long term management. High probably, these pts will benefit from inclisiran twice a year in the next decade if the price decreases",2021-06-09T16:44:21+00:00
Arterias Sanas,@sea_es,Org. Advocacy,"El profesor Kausik Kosh Ray nos habla sobre el uso de #inclisirán para el tratamiento del #colesterol LDL. ¿Dos veces al año es suficiente? Interesante debate. 

#CongresoSEA2021 #SEA2021 https://t.co/j3WC7xJIs7",2021-06-09T16:43:50+00:00
Dr Rajeev agarwal,@DrRajeevagarwa3,Doctor,"Future is gene scissors, CRISPR technology'
What is described, one and done.",2021-06-09T05:04:47+00:00
Medizinisch Rss Agg,@MedizinischRssA,,"Akdae: News 2021-22: Stellungnahme der AkdÄ zu Inclisiran (primäre Hypercholesterinämie, gemischte Dyslipidämie) (Leqvio®) – frühe Nutzenbewertung § 35a SGB V. https://t.co/5zKuNIruPw",2021-06-09T00:48:02+00:00
Hany Ragy,@Hragy,Doctor,RT @SABOURETCardio: Review of the Efficacy and Safety of #Inclisiran https://t.co/MqmOZhV1ov #lipids #cardiotwitter,2021-06-08T21:06:36+00:00
Cardiology Bot,@BotCardiology,Spam,RT @SABOURETCardio: Review of the Efficacy and Safety of #Inclisiran https://t.co/MqmOZhV1ov #lipids #cardiotwitter,2021-06-08T20:42:01+00:00
Robin Conibere,@PharmRJ,HCP,RT @SABOURETCardio: Review of the Efficacy and Safety of #Inclisiran https://t.co/MqmOZhV1ov #lipids #cardiotwitter,2021-06-08T20:29:00+00:00
SABOURETCardiologist,@SABOURETCardio,"Doctor,Researcher/Academic",Review of the Efficacy and Safety of #Inclisiran https://t.co/MqmOZhV1ov #lipids #cardiotwitter,2021-06-08T20:27:31+00:00
Igor Morr,@igormorr,"Doctor,Researcher/Academic","RT @jjamaro: ORION Phase 3 pooled [ORION 10 + ORION 11] n=3660 #ACC20
Inclisiran (ARN bicatenario q interfiere síntesis hepática d PCSK9) v…",2021-06-07T15:20:56+00:00
José Miguel Torres Viera,@torresviera,Doctor,"RT @jjamaro: ORION Phase 3 pooled [ORION 10 + ORION 11] n=3660 #ACC20
Inclisiran (ARN bicatenario q interfiere síntesis hepática d PCSK9) v…",2021-06-07T12:02:09+00:00
Carlos I Ponte N,@DrPontecarlosi,Doctor,"RT @jjamaro: ORION Phase 3 pooled [ORION 10 + ORION 11] n=3660 #ACC20
Inclisiran (ARN bicatenario q interfiere síntesis hepática d PCSK9) v…",2021-06-07T12:01:33+00:00
Dr V K Shukla,@VinodShukla1991,,"RT @VietHeartPA: #NLAPortland, Inclisiran. Look at 2nd pic. Lowers ApoB, hsCRP, etc etc. 6 month injxns? Yes please 😉 https://t.co/JMSp53nG…",2021-06-07T11:07:45+00:00
"Khalid Minhas, MD FACC",@minhaskh,Doctor,"RT @krychtiukmd: The association between LDL-C and CHD is clear

-therefore, a 21st century trial (only 2 countries, >100sites) using a nov…",2021-06-07T10:50:34+00:00
Dr V K Shukla,@VinodShukla1991,,RT @MartinLandray: Recruitment to the ORION-4 trial of inclisiran Prof Louise Bowman @Oxford_NDPH is leading benefits enormously from the e…,2021-06-07T10:46:25+00:00
Dr V K Shukla,@VinodShukla1991,,RT @ACCinTouch: ICYMI: The ORION-9 trial showed that inclisiran is superior to placebo in reducing LDL-C among patients with HeFH who are a…,2021-06-07T10:27:22+00:00
Dr V K Shukla,@VinodShukla1991,,"RT @TheFHFoundation: ORION 9 also evaluated efficacy of inclisiran by #genetic variant. Immediate and long-term lowering across LDL-R, APOB…",2021-06-07T10:24:43+00:00
Dr V K Shukla,@VinodShukla1991,,RT @TheFHFoundation: Inclisiran safely reduced LDL #cholesterol in individuals with familial hypercholesterolemia. ORION 9 met all safety a…,2021-06-07T10:23:51+00:00
Dr V K Shukla,@VinodShukla1991,,"RT @HanCardiomd: ORION-9 Trial sub analysis on HeFH .
Inclisiran reduces LDLc by 37-56% , PCSK9 by 60-112% #EASCongress2020 @EASCongress @S…",2021-06-07T10:21:54+00:00
Dr V K Shukla,@VinodShukla1991,,"RT @iftikhar_kullo: ORION 9 results for Inclisiran presented #AHA19 in 482 FH patients. Over 510 days, avg ⬇️of ~60% in LDL on top of stati…",2021-06-07T10:20:39+00:00
Dr V K Shukla,@VinodShukla1991,,"RT @krychtiukmd: ORION-9: 50% LDL Reduction With Inclisiran in FH Patients 

- what a fantastic tool - if this is safe long-term we might h…",2021-06-07T10:19:19+00:00
Dr V K Shukla,@VinodShukla1991,,RT @Nishant_ShahMD: Impact of Inclisiran on other lipid parameters in addition to LDL lowering from the Orion Phase III pooled analysis. Wo…,2021-06-07T10:16:17+00:00
Dr V K Shukla,@VinodShukla1991,,"RT @yvsx: $MDCO $ALNY ORION-1 Trial Inclisiran lowers LDL-C and PCSK9 irrespective of
diabetes status without worsening glycemia

https://t…",2021-06-07T10:15:26+00:00
Dr V K Shukla,@VinodShukla1991,,RT @dramitkhera: ORION pooled- durable 18 mo reduction in LDL-C w inclisiran every 6mo; trend towards lower CV events. Cost will be key #AC…,2021-06-07T10:13:58+00:00
Dr V K Shukla,@VinodShukla1991,,RT @HanCardiomd: Pooled Patient-Level Analysis of Inclisiran Trials in Patients With Familial Hypercholesterolemia or Atherosclerosis by th…,2021-06-07T10:13:53+00:00
Dr V K Shukla,@VinodShukla1991,,"RT @ZaherFanari: Inclisiran Potently And Durably Reduces Ldl-c In A Pooled Analyses Of Phase 3 Studies. 

ORION III

#ACC20  #WCCardio #ACC…",2021-06-07T10:12:57+00:00
Dr V K Shukla,@VinodShukla1991,,RT @braun_lynne: Pooled analysis of ORION phase III studies with inclisiran twice yearly admin #HeFH #ASCVD LDL 55% decrease. Also reduces…,2021-06-07T10:08:39+00:00
Dr V K Shukla,@VinodShukla1991,,"RT @jjamaro: ORION Phase 3 pooled [ORION 10 + ORION 11] n=3660 #ACC20
Inclisiran (ARN bicatenario q interfiere síntesis hepática d PCSK9) v…",2021-06-07T10:03:18+00:00
JCM MDPI,@JCM_MDPI,Org. Media,"#mdpijcm
New #Review “Inclisiran—Silencing the Cholesterol, Speaking up the Prognosis” by Sylwester Rogula et al.
More info at https://t.co/8r6jzSs12E
#atherosclerosis #cardiovasculardisease #hypercholesterolemia https://t.co/LTB7NqSOfS",2021-06-07T04:15:00+00:00
"Anandita Agarwala Kulkarni, MD",@AAgarwalaMD,Doctor,RT @NP_ltl_a: Fascinating overview of ORION/Inclisiran by Dr. Kevin Maki #Summeroflipids ⁦@nationallipid⁩ with moderator ⁦@AAgarwalaMD⁩ htt…,2021-06-05T14:36:47+00:00
Nataliya Pyslar,@NP_ltl_a,Doctor,Fascinating overview of ORION/Inclisiran by Dr. Kevin Maki #Summeroflipids @nationallipid with moderator @AAgarwalaMD https://t.co/Ww8FR3QEJT,2021-06-05T14:35:16+00:00
"Anandita Agarwala Kulkarni, MD",@AAgarwalaMD,Doctor,RT @LipidCNS: Inclisiran shows potential for significant lipid lowering in Orion trial. Thank you Dr Kevin Maki for providing a thorough re…,2021-06-05T14:29:25+00:00
Beth Jackson,@LipidCNS,Doctor,Inclisiran shows potential for significant lipid lowering in Orion trial. Thank you Dr Kevin Maki for providing a thorough review and update @nationallipid #SummerofLipids,2021-06-05T14:28:59+00:00
LeonardH,@OSheaLaos,Individual Non-Health,RT @tmodarressi: Poster from @ProfKausikRay and colleagues showing various biomarkers from pooled ORION 9-11 trials (inclisiran). Very reas…,2021-06-03T03:06:58+00:00
"Taher Modarressi, M.D.",@tmodarressi,Doctor,"Poster from @ProfKausikRay and colleagues showing various biomarkers from pooled ORION 9-11 trials (inclisiran). Very reassuring. Looking for its arrival on this side of the Atlantic, hopefully soon. #EASCongress2021 https://t.co/axSfDkA9QM",2021-06-03T01:49:26+00:00
SABOURETCardiologist,@SABOURETCardio,"Doctor,Researcher/Academic",@drercardio Or #inclisiran (a cousin) twice a year. Waiting for the RCVOT trial ORION IV (results expected in 2024). A promising field for patients and research but don’t forget the diet and physical activities of course 🏃‍♀️ @DBelardoMD @DrMarthaGulati @mmamas1973,2021-06-02T13:38:53+00:00
informazione salute,@infoitsalute,,"Analisi raggruppata di tre studi conferma i vantaggi di inclisiran: due iniezioni all'anno, colesterolo-LDL https://t.co/4rcougpFTv",2021-06-01T21:16:23+00:00
EAS Congress,@EASCongress,Org. Advocacy,"RT @CVgeneeskunde: Veiligheid van PCSK9 siRNA aangetoond in gepoolde data analyse.
Lees: https://t.co/wNUGXcXqEN
#EAScongress2021 #PCSK9 #L…",2021-06-01T10:46:11+00:00
CVgeneeskunde,@CVgeneeskunde,Individual Other Health,"Veiligheid van PCSK9 siRNA aangetoond in gepoolde data analyse.
Lees: https://t.co/wNUGXcXqEN
#EAScongress2021 #PCSK9 #LDLc",2021-06-01T10:19:29+00:00
PACE Foundation,@PACEcme,Org. Advocacy,"Safety of PCSK9 siRNA demonstrated in pooled data analysis.
Read: https://t.co/71uYFxIrym
#EASCongress2021 #PCSK9 #LDLc",2021-06-01T10:18:48+00:00
informazione salute,@infoitsalute,,"Analisi raggruppata di tre studi conferma i vantaggi di inclisiran: due iniezioni all'anno, colesterolo-LDL https://t.co/AAey5Sgg6z",2021-06-01T07:53:04+00:00
Prabhakar Dorairaj,@prabhud19,Doctor,@NawarDalila @ProfKausikRay @EASCongress @society_eas Inclisiran @ProfKausikRay is new and exciting. PCSK9i are old - 6 years is a long time - don’t you think?,2021-05-31T17:06:31+00:00
Alessia Massaccesi,@imi_massaccesi,Individual Non-Health,"RT @malatinvisibili: MALATTIA CARDIOVASCOLARE ATEROSCLEROTICA – TRATTAMENTO CON INCLISIRAN RIDUCE COLESTEROLO LDL.
https://t.co/OdbxtEzKhC…",2021-05-31T14:39:07+00:00
Vincenzo Zoccano,@vincenzozoccano,,"RT @malatinvisibili: MALATTIA CARDIOVASCOLARE ATEROSCLEROTICA – TRATTAMENTO CON INCLISIRAN RIDUCE COLESTEROLO LDL.
https://t.co/OdbxtEzKhC…",2021-05-31T13:02:12+00:00
Patrizia Orlandi,@PatriziaOrlan11,,"RT @malatinvisibili: MALATTIA CARDIOVASCOLARE ATEROSCLEROTICA – TRATTAMENTO CON INCLISIRAN RIDUCE COLESTEROLO LDL.
https://t.co/OdbxtEzKhC…",2021-05-31T12:44:50+00:00
I Malati Invisibili,@malatinvisibili,Org. Other Healthcare,"MALATTIA CARDIOVASCOLARE ATEROSCLEROTICA – TRATTAMENTO CON INCLISIRAN RIDUCE COLESTEROLO LDL.
https://t.co/OdbxtEzKhC #heartdisease
#comitatoimalatiinvisibili #imalatiinvisibili #comitatoimi #comitatoimionlus https://t.co/5PEel33TC8",2021-05-31T12:28:38+00:00
Dr. Lander Foquet,@lfoquet,Researcher/Academic,"@Atomix52315850 @roelzns @Ilse_Degreef @MediSfeer https://t.co/3qu07PKEsq

Ik zit toevallig net op een cardiovasculaire ziekte congres.. Inclisiran werkt goed hoor en is goedgekeurd na heel wat lange en grote studies.",2021-05-31T08:28:42+00:00
LipidLover MD,@LipidLover1030,,@drpablocorral These data reinforce the need for INCLISIRAN! IT CAN CHANGE THE CURVES AND THE COURSE OF HEART DISEASE.,2021-05-30T21:19:46+00:00
Prof Kausik Ray,@ProfKausikRay,Doctor,"RT @DrDerekConnolly: the European Atherosclerosis Society Congress 2021 is live now

with the addition of bempedoic acid and inclisiran, st…",2021-05-30T11:27:09+00:00
Duygu Kocyigit,@DuyguKocyigitMD,Doctor,"RT @DrDerekConnolly: the European Atherosclerosis Society Congress 2021 is live now

with the addition of bempedoic acid and inclisiran, st…",2021-05-30T10:59:55+00:00
EAS Congress,@EASCongress,Org. Advocacy,"RT @DrDerekConnolly: the European Atherosclerosis Society Congress 2021 is live now

with the addition of bempedoic acid and inclisiran, st…",2021-05-30T10:44:16+00:00
Dr Derek Connolly,@DrDerekConnolly,Doctor,"the European Atherosclerosis Society Congress 2021 is live now

with the addition of bempedoic acid and inclisiran, statin intolerance is no longer a barrier to lipid lowering therapy to reduce CV events

#EAS2021 #EASCongress2021 
@ProfKausikRay @ProfSNicholls @erikkstroes https://t.co/YFutK0O5cX",2021-05-30T10:39:50+00:00
Dr Meral Kayikcioglu,@MeralKayikcoglu,Doctor,"RT @FedericaFogacci: Very excited to have our posters on the virtual platform for this year's congress! #EASCongress2021
@EASCongress @soci…",2021-05-30T09:14:50+00:00
EAS Congress,@EASCongress,Org. Advocacy,"RT @FedericaFogacci: Very excited to have our posters on the virtual platform for this year's congress! #EASCongress2021
@EASCongress @soci…",2021-05-30T09:05:22+00:00
Federica Fogacci,@FedericaFogacci,Doctor,"Very excited to have our posters on the virtual platform for this year's congress! #EASCongress2021
@EASCongress @society_eas @Unibo @afgcicero #BHS #BrisighellaHeartStudy #Inclisiran #ArmolipidPlus https://t.co/wm8BPh6QOI",2021-05-30T09:04:09+00:00
LipidLover MD,@LipidLover1030,,RT @ErinMichos: #inclisiran,2021-05-28T05:42:16+00:00
"Rachel M Bond, MD",@DrRachelMBond,Doctor,RT @ErinMichos: #inclisiran,2021-05-28T01:24:19+00:00
"Erin D. Michos, M.D.",@ErinMichos,"Doctor,Researcher/Academic",#inclisiran,2021-05-28T01:04:26+00:00
georgio bravura MD,@BravuraGeorgio,,@Lpa_Doc Repatha? or Inclisiran,2021-05-27T00:22:00+00:00
Andrew SP Sharp,@drandrewsharp,Doctor,"@kaulcsmc @ProfDFrancis @EduQuintanaCVS @rafasadaba @GreggWStone @MCoylewright @djc795 @webmd11 @jspertus @DavidLBrownMD @vlgmrc @hect2701 @angioplastyorg @drjohnm @SABOURETCardio @Drroxmehran @ajaykirtane @Hragy @AnastasiaSMihai @JEscaned @MarcoJe80135689 @transradial @DrMarthaGulati @BillONeillMD @DrCindyGrines @DLBHATTMD @rallamee @sbrugaletta @Ortega_Paz @NicolaRyanI1 @DrPascalMeier @w_jyg @AsherElad @ANazmiCalik @aayshacader @ICigalini @guilbon If could summate plaque burden across the coros + number/vulnerability of plaques into risk score, might be able to create score from which riskiest could be randomised but isn’t easy study to do. Could argue just give everyone with MVD one shot of inclisiran post MI.",2021-05-26T05:19:41+00:00
LBC,@GITSOC2011,,Synovent reviews the data in this month's issue from Drugs of Today: https://t.co/jpXfSgLcSj Realizing #patientcentricity at scale requires rendering actionable insights from enormous volumes of data,2021-05-24T23:34:00+00:00
Scott Wright,@ScottWrightMD,"Doctor,Investigator","RT @kylalaraMD: Congratulations Dr. @ScottWrightMD on #ORION Phase III results of #inclisiran and ⬇️LDL-C:
👍🏽 2x yearly administration for…",2021-05-24T02:29:05+00:00
Sabi,@Sabi82892148,,"RT @Cortellis: Cardiovascular disease (CVD) is the leading cause of death worldwide. Inclisiran, a small interfering RNA (siRNA) molecule,…",2021-05-22T20:55:10+00:00
Preventive Medicine Bot,@PreventiveBot,Spam,RT @SABOURETCardio: Some news of #inclisiran in EU ? #lipids https://t.co/sR5gMgh2og,2021-05-22T07:15:28+00:00
SABOURETCardiologist,@SABOURETCardio,"Doctor,Researcher/Academic",Some news of #inclisiran in EU ? #lipids https://t.co/sR5gMgh2og,2021-05-22T07:03:27+00:00
Colón Arteaga Macías СГАМ,@CGAM2016,Individual Other Health,RT @radcliffeCARDIO: Treating hypercholesterolemia in patients who are intolerant to statins is a challenge. #Inclisiran has significant #c…,2021-05-21T18:57:11+00:00
LipidLover MD,@LipidLover1030,,@drpablocorral I agree. But isn’t this old news? It’s the cholesterol stupid! 😀. If/when inclisiran is approved we can think about one drug therapy & see how it goes for a while & adjust accordingly. We should prob encourage its use as monotherapy for PCPs and those in less developed nations.,2021-05-21T17:12:49+00:00
yaseer amreet /Abu xaxaan,@al_amreet,,RT @radcliffeCARDIO: Treating hypercholesterolemia in patients who are intolerant to statins is a challenge. #Inclisiran has significant #c…,2021-05-21T16:59:19+00:00
Radcliffe Cardiology,@radcliffeCARDIO,Org. Media,"Treating hypercholesterolemia in patients who are intolerant to statins is a challenge. #Inclisiran has significant #cholesterol-lowering  benefits, but what are the risks? This article covers everything we know so far 👉 https://t.co/YajZJlZSyN @DrMichaelShapir #PCSK9 #MedEd https://t.co/t93SvroUct",2021-05-21T16:40:04+00:00
"Hayes, Inc",@HayesInc,Org. Other Healthcare,Hayes Horizon Scanning features our Emerging Technology Reports. Here's one on: Inclisiran for Hypercholesterolemia. https://t.co/zmOz3nIdR5 https://t.co/Qujc9tyVWn,2021-05-21T16:07:10+00:00
randall crisp,@rgcrisp,,"RT @Cortellis: Cardiovascular disease (CVD) is the leading cause of death worldwide. Inclisiran, a small interfering RNA (siRNA) molecule,…",2021-05-21T12:10:15+00:00
